1000,from,to
501,803,809
502,186,71
503,499,52
504,335,111
505,297,105
506,555,19
507,26,879
508,163,20
509,773,564
510,853,262
511,284,90
512,148,279
513,535,478
514,169,321
515,353,727
516,513,786
517,695,67
518,441,372
519,870,495
520,319,383
521,857,541
522,897,758
523,280,752
524,996,772
525,335,138
526,742,181
527,699,866
528,973,127
529,864,803
530,613,867
531,11,977
532,302,255
533,213,117
534,486,189
535,142,51
536,681,406
537,296,383
538,670,176
539,582,411
540,396,540
541,108,508
542,497,549
543,189,999
544,650,331
545,890,513
546,779,37
547,196,292
548,196,241
549,715,61
550,700,770
551,645,789
552,924,858
553,284,588
554,431,314
555,968,292
556,681,14
557,77,504
558,371,167
559,691,827
560,325,175
561,936,92
562,224,899
563,871,404
564,141,728
565,328,492
566,880,809
567,664,827
568,134,825
569,620,811
570,607,96
571,307,260
572,987,12
573,311,468
574,495,870
575,386,502
576,390,278
577,111,822
578,629,506
579,132,422
580,392,267
581,448,877
582,323,277
583,930,704
584,626,371
585,591,361
586,424,433
587,98,741
588,890,531
589,891,310
590,255,498
591,310,891
592,366,260
593,612,559
594,909,914
595,605,600
596,92,122
597,735,382
598,728,456
599,909,88
600,19,315
601,259,360
602,118,135
603,980,147
604,858,141
605,143,666
606,557,984
607,712,608
608,270,166
609,143,523
610,974,405
611,372,559
612,121,310
613,566,404
614,605,593
615,739,864
616,280,891
617,616,586
618,411,582
619,657,504
620,103,798
621,15,328
622,993,875
623,462,406
624,445,102
625,655,792
626,820,406
627,698,599
628,436,415
629,423,473
630,408,409
631,840,444
632,551,989
633,115,479
634,879,33
635,753,767
636,934,916
637,212,751
638,786,513
639,415,970
640,415,257
641,411,716
642,13,486
643,702,755
644,993,989
645,461,724
646,813,383
647,618,639
648,88,542
649,433,424
650,854,451
651,94,468
652,188,995
653,815,11
654,394,187
655,431,936
656,380,603
657,988,711
658,94,786
659,251,457
660,499,157
661,559,372
662,800,787
663,194,949
664,46,594
665,826,932
666,180,375
667,367,771
668,621,540
669,990,804
670,745,269
671,636,447
672,174,106
673,837,880
674,416,180
675,12,987
676,308,703
677,211,534
678,288,872
679,109,949
680,116,44
681,193,506
682,710,778
683,234,556
684,290,806
685,443,402
686,33,879
687,505,845
688,588,305
689,593,592
690,794,755
691,942,701
692,183,683
693,737,653
694,334,557
695,317,374
696,467,601
697,180,776
698,458,867
699,535,423
700,577,984
701,874,996
702,411,110
703,858,663
704,803,10
705,343,918
706,551,807
707,455,409
708,574,668
709,187,394
710,649,689
711,597,715
712,976,965
713,740,115
714,868,8
715,686,452
716,561,608
717,879,477
718,165,544
719,62,210
720,484,640
721,582,307
722,805,528
723,399,226
724,130,914
725,186,160
726,991,686
727,818,80
728,564,490
729,175,872
730,914,904
731,899,986
732,811,620
733,541,892
734,731,504
735,112,450
736,125,143
737,753,241
738,185,381
739,883,31
740,512,632
741,894,232
742,663,858
743,357,130
744,71,629
745,516,262
746,499,209
747,608,63
748,183,443
749,523,6
750,706,177
751,252,158
752,732,766
753,238,786
754,115,740
755,95,911
756,666,73
757,650,399
758,652,415
759,392,40
760,84,41
761,45,124
762,308,945
763,972,163
764,102,445
765,157,499
766,31,883
767,971,470
768,225,521
769,20,940
770,368,133
771,373,956
772,896,107
773,915,108
774,627,67
775,739,848
776,97,842
777,763,509
778,174,950
779,348,893
780,2,255
781,657,441
782,145,154
783,995,453
784,943,408
785,825,134
786,827,691
787,207,413
788,190,511
789,546,706
790,504,972
791,492,328
792,631,223
793,872,940
794,724,853
795,601,467
796,886,779
797,305,338
798,107,7
799,170,173
800,430,332
801,675,233
802,715,597
803,864,739
804,559,241
805,742,366
806,930,466
807,83,281
808,583,849
809,50,114
810,287,355
811,14,681
812,492,521
813,119,767
814,137,513
815,818,546
816,233,675
817,33,27
818,292,154
819,238,513
820,541,857
821,411,642
822,488,271
823,383,296
824,41,84
825,385,332
826,958,84
827,571,139
828,519,796
829,612,642
830,577,427
831,119,434
832,143,980
833,62,331
834,640,484
835,415,436
836,515,465
837,328,624
838,111,335
839,440,10
840,976,76
841,522,968
842,776,899
843,466,985
844,892,541
845,531,890
846,913,715
847,630,708
848,849,152
849,557,231
850,579,134
851,619,495
852,416,98
853,894,376
854,442,84
855,463,131
856,630,829
857,875,993
858,106,174
859,992,670
860,130,357
861,904,836
862,540,184
863,549,497
864,931,503
865,951,61
866,662,655
867,3,30
868,519,729
869,629,766
870,190,959
871,375,719
872,50,31
873,52,335
874,273,260
875,737,226
876,494,220
877,629,505
878,409,831
879,473,423
880,809,912
881,178,193
882,734,897
883,919,753
884,738,895
885,300,326
886,398,629
887,992,516
888,740,990
889,343,298
890,920,261
891,408,943
892,939,832
893,638,37
894,931,135
895,166,270
896,406,820
897,372,441
898,599,241
899,31,211
900,969,707
901,141,858
902,73,41
903,992,262
904,989,993
905,669,995
906,247,27
907,71,276
908,584,479
909,123,390
910,292,86
911,114,50
912,260,354
913,740,194
914,707,27
915,542,88
916,50,557
917,295,710
918,594,46
919,339,130
920,191,726
921,32,746
922,523,522
923,249,190
924,527,450
925,420,590
926,347,243
927,403,815
928,453,995
929,117,693
930,61,392
931,264,876
932,31,399
933,269,891
934,826,69
935,226,15
936,814,41
937,959,190
938,2,969
939,262,992
940,194,407
941,247,596
942,382,997
943,453,859
944,293,950
945,756,239
946,225,788
947,84,442
948,502,386
949,485,330
950,474,640
951,237,793
952,74,141
953,258,641
954,584,135
955,714,928
956,141,756
957,72,123
958,965,753
959,214,433
960,768,567
961,731,701
962,509,177
963,1,152
964,293,458
965,557,334
966,302,632
967,800,423
968,529,31
969,604,418
970,676,791
971,759,838
972,339,40
973,397,546
974,827,664
975,386,862
976,315,19
977,375,974
978,802,515
979,197,219
980,643,378
981,701,731
982,481,437
983,443,183
984,153,93
985,669,562
986,686,991
987,411,549
988,726,454
989,233,152
990,692,15
991,857,200
992,335,52
993,75,321
994,111,541
995,152,1
996,154,301
997,250,591
998,492,673
999,588,846
1000,695,767
1001,995,129
1002,557,762
1003,390,768
1004,446,331
1005,181,742
1006,495,335
1007,25,141
1008,279,341
1009,644,32
1010,689,649
1011,931,596
1012,951,521
1013,383,813
1014,321,75
1015,126,443
1016,641,258
1017,715,913
1018,331,62
1019,459,520
1020,501,791
1021,524,684
1022,856,826
1023,86,292
1024,307,57
1025,382,735
1026,827,997
1027,425,537
1028,871,867
1029,585,736
1030,360,259
1031,655,662
1032,376,894
1033,914,130
1034,226,737
1035,486,13
1036,269,745
1037,154,724
1038,182,165
1039,828,788
1040,746,32
1041,260,307
1042,208,4
1043,831,617
1044,582,469
1045,992,741
1046,945,164
1047,899,224
1048,370,549
1049,316,22
1050,428,466
1051,984,557
1052,363,21
1053,859,453
1054,740,925
1055,670,992
1056,839,987
1057,534,432
1058,330,876
1059,21,542
1060,832,939
1061,302,853
1062,76,936
1063,481,950
1064,883,834
1065,628,380
1066,223,631
1067,523,143
1068,785,904
1069,236,276
1070,459,575
1071,8,715
1072,903,237
1073,697,660
1074,700,122
1075,977,366
1076,392,676
1077,209,335
1078,211,31
1079,674,700
1080,345,708
1081,715,8
1082,935,870
1083,681,790
1084,77,720
1085,42,121
1086,61,715
1087,872,798
1088,778,248
1089,580,44
1090,123,126
1091,343,198
1092,489,888
1093,573,454
1094,142,408
1095,90,284
1096,645,180
1097,995,710
1098,962,367
1099,398,267
1100,753,965
1101,458,171
1102,404,566
1103,638,555
1104,143,125
1105,58,689
1106,209,14
1107,872,175
1108,532,696
1109,534,123
1110,704,274
1111,150,677
1112,8,618
1113,812,531
1114,243,347
1115,32,37
1116,571,226
1117,789,167
1118,108,391
1119,215,886
1120,332,385
1121,152,551
1122,957,520
1123,967,722
1124,472,772
1125,111,701
1126,722,648
1127,981,594
1128,892,741
1129,292,968
1130,701,628
1131,190,797
1132,338,305
1133,842,97
1134,591,357
1135,506,193
1136,809,54
1137,544,165
1138,642,612
1139,756,141
1140,391,108
1141,784,771
1142,431,638
1143,380,86
1144,878,205
1145,199,57
1146,880,609
1147,18,433
1148,58,421
1149,355,816
1150,686,724
1151,980,143
1152,157,431
1153,946,853
1154,214,68
1155,503,931
1156,398,960
1157,699,350
1158,23,920
1159,743,983
1160,447,636
1161,509,147
1162,757,381
1163,10,440
1164,160,970
1165,326,300
1166,955,150
1167,591,250
1168,596,247
1169,830,545
1170,982,315
1171,710,732
1172,72,64
1173,413,207
1174,161,321
1175,771,367
1176,37,927
1177,168,269
1178,332,430
1179,415,652
1180,826,139
1181,21,363
1182,862,462
1183,936,76
1184,666,896
1185,598,147
1186,767,119
1187,513,137
1188,346,362
1189,272,633
1190,702,280
1191,741,291
1192,724,154
1193,15,692
1194,956,373
1195,879,26
1196,58,463
1197,810,990
1198,927,37
1199,378,643
1200,533,265
1201,809,880
1202,639,618
1203,769,56
1204,874,697
1205,16,160
1206,696,269
1207,771,784
1208,632,245
1209,545,53
1210,773,498
1211,246,996
1212,449,201
1213,729,815
1214,290,366
1215,44,116
1216,670,149
1217,603,751
1218,198,351
1219,986,899
1220,899,776
1221,646,857
1222,904,914
1223,198,238
1224,662,98
1225,10,6
1226,801,751
1227,162,256
1228,750,332
1229,237,903
1230,755,246
1231,204,797
1232,721,58
1233,905,198
1234,893,348
1235,68,679
1236,737,269
1237,845,473
1238,85,420
1239,231,389
1240,838,759
1241,269,168
1242,894,638
1243,521,332
1244,498,855
1245,972,504
1246,496,257
1247,854,646
1248,92,531
1249,509,763
1250,257,578
1251,682,104
1252,617,226
1253,687,212
1254,860,975
1255,990,810
1256,558,867
1257,498,255
1258,433,18
1259,880,837
1260,555,638
1261,593,605
1262,522,333
1263,910,154
1264,567,768
1265,973,511
1266,116,46
1267,178,108
1268,13,45
1269,624,457
1270,56,838
1271,921,492
1272,629,675
1273,408,142
1274,84,902
1275,124,45
1276,238,29
1277,85,891
1278,546,818
1279,729,5
1280,513,238
1281,534,211
1282,679,68
1283,132,716
1284,520,957
1285,617,261
1286,157,708
1287,177,14
1288,130,339
1289,573,424
1290,479,115
1291,409,408
1292,784,828
1293,165,891
1294,772,472
1295,245,632
1296,506,629
1297,657,467
1298,630,303
1299,423,359
1300,62,860
1301,372,810
1302,355,287
1303,770,133
1304,223,650
1305,668,498
1306,209,499
1307,27,33
1308,141,25
1309,587,738
1310,344,528
1311,976,854
1312,441,45
1313,371,249
1314,922,830
1315,200,857
1316,458,293
1317,41,814
1318,246,396
1319,504,731
1320,28,572
1321,51,142
1322,254,682
1323,540,621
1324,173,170
1325,250,50
1326,880,874
1327,478,535
1328,835,671
1329,454,91
1330,990,740
1331,496,152
1332,996,256
1333,543,349
1334,31,50
1335,713,610
1336,859,463
1337,684,787
1338,851,185
1339,716,841
1340,117,213
1341,891,280
1342,265,533
1343,30,322
1344,92,936
1345,754,509
1346,882,518
1347,424,573
1348,26,458
1349,410,723
1350,586,616
1351,269,737
1352,833,717
1353,158,252
1354,255,2
1355,420,85
1356,80,818
1357,423,535
1358,465,399
1359,121,42
1360,306,172
1361,508,299
1362,755,794
1363,368,40
1364,722,967
1365,6,323
1366,975,860
1367,357,591
1368,383,319
1369,996,874
1370,30,3
1371,995,188
1372,926,644
1373,323,849
1374,310,121
1375,129,995
1376,917,463
1377,366,977
1378,127,973
1379,271,488
1380,27,707
1381,303,630
1382,625,137
1383,716,411
1384,436,227
1385,592,478
1386,60,220
1387,800,838
1388,253,749
1389,241,443
1390,539,547
1391,888,489
1392,319,413
1393,104,568
1394,72,214
1395,626,814
1396,92,732
1397,37,664
1398,520,702
1399,332,370
1400,87,333
1401,130,813
1402,921,244
1403,11,275
1404,855,498
1405,948,442
1406,129,844
1407,6,10
1408,571,574
1409,934,59
1410,739,356
1411,315,982
1412,856,798
1413,752,671
1414,792,655
1415,559,326
1416,305,588
1417,451,509
1418,876,330
1419,371,306
1420,633,203
1421,501,64
1422,920,387
1423,42,251
1424,970,415
1425,697,317
1426,719,375
1427,208,73
1428,924,951
1429,671,752
1430,84,958
1431,564,11
1432,50,250
1433,788,828
1434,418,35
1435,679,458
1436,58,721
1437,576,937
1438,741,892
1439,808,791
1440,684,524
1441,745,522
1442,814,556
1443,407,547
1444,69,826
1445,895,738
1446,549,955
1447,528,805
1448,361,591
1449,985,466
1450,196,453
1451,590,198
1452,149,670
1453,44,580
1454,61,951
1455,949,109
1456,697,874
1457,577,716
1458,500,53
1459,872,673
1460,247,989
1461,838,245
1462,660,871
1463,771,828
1464,534,776
1465,212,622
1466,32,897
1467,287,459
1468,716,577
1469,205,878
1470,848,739
1471,152,496
1472,819,482
1473,93,153
1474,511,190
1475,514,319
1476,513,890
1477,277,323
1478,578,256
1479,100,204
1480,67,627
1481,356,739
1482,897,734
1483,642,411
1484,741,394
1485,858,374
1486,911,95
1487,701,439
1488,995,669
1489,671,917
1490,53,500
1491,104,682
1492,770,172
1493,438,838
1494,348,269
1495,754,434
1496,556,234
1497,355,325
1498,866,756
1499,469,582
1500,424,847
1501,666,143
1502,575,459
1503,522,136
1504,482,819
1505,164,945
1506,492,921
1507,516,304
1508,26,958
1509,498,668
1510,816,239
1511,141,704
1512,73,666
1513,381,518
1514,556,814
1515,370,332
1516,150,955
1517,152,849
1518,858,924
1519,806,290
1520,954,996
1521,147,598
1522,917,208
1523,758,897
1524,486,691
1525,14,177
1526,542,637
1527,743,281
1528,281,743
1529,46,364
1530,403,747
1531,650,223
1532,673,150
1533,945,966
1534,732,989
1535,852,486
1536,657,634
1537,68,898
1538,267,754
1539,123,72
1540,440,361
1541,37,638
1542,479,584
1543,797,190
1544,624,23
1545,703,308
1546,298,343
1547,185,388
1548,538,282
1549,867,458
1550,299,508
1551,945,308
1552,655,875
1553,766,732
1554,198,343
1555,594,981
1556,264,996
1557,997,382
1558,335,209
1559,531,934
1560,55,669
1561,708,630
1562,917,408
1563,611,792
1564,351,70
1565,177,509
1566,617,831
1567,390,123
1568,583,605
1569,594,25
1570,122,92
1571,798,872
1572,47,396
1573,394,741
1574,609,122
1575,546,397
1576,521,492
1577,8,868
1578,203,790
1579,98,662
1580,924,673
1581,330,485
1582,276,236
1583,285,981
1584,893,245
1585,359,423
1586,96,607
1587,740,994
1588,453,63
1589,113,327
1590,538,375
1591,385,685
1592,891,269
1593,655,838
1594,843,750
1595,219,197
1596,592,499
1597,477,879
1598,710,295
1599,772,996
1600,807,551
1601,612,763
1602,392,61
1603,139,571
1604,508,108
1605,574,571
1606,542,21
1607,533,131
1608,550,803
1609,457,624
1610,99,742
1611,634,912
1612,488,858
1613,747,403
1614,831,804
1615,389,231
1616,710,995
1617,177,706
1618,513,723
1619,333,522
1620,335,495
1621,248,778
1622,559,817
1623,708,157
1624,779,439
1625,362,346
1626,894,126
1627,126,894
1628,308,751
1629,897,32
1630,738,730
1631,152,233
1632,466,428
1633,208,917
1634,455,99
1635,439,293
1636,521,225
1637,996,264
1638,196,507
1639,768,390
1640,955,549
1641,928,994
1642,396,47
1643,344,403
1644,364,46
1645,193,178
1646,103,94
1647,867,613
1648,23,889
1649,84,204
1650,676,392
1651,290,437
1652,668,642
1653,902,84
1654,632,302
1655,131,463
1656,477,28
1657,563,464
1658,340,961
1659,127,539
1660,421,58
1661,831,409
1662,226,399
1663,796,519
1664,129,217
1665,281,83
1666,245,893
1667,133,770
1668,121,816
1669,763,612
1670,249,545
1671,450,57
1672,288,265
1673,870,935
1674,122,609
1675,549,370
1676,245,838
1677,396,246
1678,732,710
1679,325,355
1680,918,343
1681,186,276
1682,235,736
1683,715,218
1684,73,208
1685,128,389
1686,22,316
1687,226,997
1688,962,356
1689,817,559
1690,449,130
1691,349,543
1692,260,273
1693,214,72
1694,434,754
1695,720,77
1696,190,33
1697,521,951
1698,403,344
1699,443,241
1700,543,884
1701,677,887
1702,96,512
1703,815,729
1704,374,858
1705,180,416
1706,608,561
1707,511,973
1708,917,671
1709,810,372
1710,544,72
1711,637,485
1712,675,782
1713,582,101
1714,434,160
1715,163,972
1716,519,27
1717,79,245
1718,620,959
1719,327,113
1720,57,450
1721,701,111
1722,843,927
1723,737,827
1724,394,823
1725,622,212
1726,588,284
1727,608,712
1728,522,523
1729,155,46
1730,413,319
1731,341,279
1732,91,454
1733,751,801
1734,204,100
1735,462,675
1736,317,697
1737,198,590
1738,331,446
1739,151,988
1740,816,355
1741,741,98
1742,463,58
1743,454,573
1744,257,496
1745,578,257
1746,979,655
1747,12,907
1748,677,150
1749,381,185
1750,907,491
1751,673,492
1752,456,629
1753,356,962
1754,34,315
1755,989,732
1756,996,966
1757,529,193
1758,473,429
1759,916,934
1760,248,544
1761,984,148
1762,650,499
1763,726,676
1764,835,863
1765,160,16
1766,724,461
1767,172,770
1768,629,456
1769,707,969
1770,465,515
1771,86,380
1772,875,655
1773,786,94
1774,331,650
1775,333,87
1776,764,925
1777,741,992
1778,904,295
1779,963,708
1780,675,462
1781,696,532
1782,849,583
1783,101,839
1784,122,700
1785,321,4
1786,269,348
1787,790,203
1788,704,930
1789,999,564
1790,640,474
1791,791,808
1792,25,492
1793,355,370
1794,504,77
1795,950,481
1796,19,555
1797,256,578
1798,235,105
1799,996,246
1800,706,546
1801,804,990
1802,291,741
1803,596,931
1804,226,617
1805,249,371
1806,357,242
1807,838,800
1808,646,854
1809,688,88
1810,541,111
1811,927,843
1812,147,509
1813,845,238
1814,779,886
1815,447,86
1816,549,411
1817,736,585
1818,295,904
1819,387,920
1820,766,629
1821,788,225
1822,492,25
1823,406,681
1824,711,988
1825,904,785
1826,509,754
1827,756,866
1828,165,182
1829,665,611
1830,408,917
1831,889,23
1832,781,801
1833,618,8
1834,855,357
1835,751,308
1836,951,924
1837,292,196
1838,402,443
1839,572,28
1840,185,851
1841,562,669
1842,267,398
1843,603,958
1844,783,36
1845,510,557
1846,830,922
1847,958,26
1848,45,13
1849,891,85
1850,689,58
1851,559,612
1852,925,740
1853,429,383
1854,642,144
1855,914,909
1856,448,493
1857,193,529
1858,256,996
1859,458,26
1860,918,11
1861,315,34
1862,337,708
1863,592,62
1864,609,880
1865,134,579
1866,27,976
1867,673,872
1868,27,519
1869,154,910
1870,463,77
1871,247,304
1872,838,11
1873,624,131
1874,399,31
1875,793,237
1876,958,383
1877,137,625
1878,246,61
1879,29,238
1880,399,465
1881,592,593
1882,167,789
1883,204,84
1884,370,355
1885,101,582
1886,45,441
1887,468,94
1888,768,615
1889,107,896
1890,935,965
1891,648,722
1892,920,23
1893,99,455
1894,210,62
1895,329,590
1896,439,779
1897,262,853
1898,217,129
1899,184,310
1900,888,842
1901,152,351
1902,638,431
1903,255,302
1904,57,307
1905,627,891
1906,5,729
1907,669,55
1908,321,169
1909,928,714
1910,708,963
1911,462,862
1912,429,473
1913,512,440
1914,788,736
1915,999,189
1916,11,57
1917,463,917
1918,854,976
1919,456,989
1920,723,513
1921,77,463
1922,279,148
1923,564,999
1924,754,267
1925,537,425
1926,314,431
1927,633,272
1928,712,897
1929,801,781
1930,732,92
1931,238,198
1932,994,928
1933,495,619
1934,564,773
1935,671,660
1936,819,673
1937,86,447
1938,841,716
1939,937,576
1940,441,657
1941,467,657
1942,108,178
1943,54,809
1944,150,673
1945,802,80
1946,883,304
1947,739,535
1948,80,802
1949,433,214
1950,490,564
1951,454,726
1952,787,800
1953,900,606
1954,449,502
1955,145,32
1956,499,482
1957,673,924
1958,871,529
1959,804,831
1960,518,882
1961,244,921
1962,611,665
1963,504,657
1964,67,695
1965,410,480
1966,157,553
1967,750,984
1968,452,686
1969,571,560
1970,842,888
1971,135,118
1972,464,563
1973,498,773
1974,858,488
1975,984,750
1976,76,976
1977,961,340
1978,119,68
1979,751,212
1980,702,520
1981,61,246
1982,638,894
1983,241,753
1984,97,194
1985,615,768
1986,985,120
1987,628,701
1988,55,995
1989,276,71
1990,478,592
1991,46,116
1992,547,539
1993,682,254
1994,989,551
1995,292,796
1996,869,209
1997,397,188
1998,829,750
1999,539,127
